Ethnic group,Age,Year at 30 June,Sex,Value,Flags
"Total people, ethnic group","0 Years","2013","Total people, sex",60270,
"Total people, ethnic group","0 Years","1996","Total people, sex",57260,
"Total people, ethnic group","0 Years","2001","Total people, sex",55820,
"Total people, ethnic group","0 Years","2006","Total people, sex",59060,
"Total people, ethnic group","1 Years","2006","Total people, sex",57370,
"Total people, ethnic group","1 Years","2001","Total people, sex",56520,
"Total people, ethnic group","1 Years","1996","Total people, sex",58340,
"Total people, ethnic group","1 Years","2013","Total people, sex",61360,
"Total people, ethnic group","2 Years","1996","Total people, sex",58440,
"Total people, ethnic group","3 Years","1996","Total people, sex",59810,
"Total people, ethnic group","3 Years","2001","Total people, sex",57100,
"Total people, ethnic group","2 Years","2001","Total people, sex",55010,
"Total people, ethnic group","2 Years","2006","Total people, sex",57690,
"Total people, ethnic group","3 Years","2006","Total people, sex",56110,
"Total people, ethnic group","3 Years","2013","Total people, sex",64280,
"Total people, ethnic group","2 Years","2013","Total people, sex",62540,
"Total people, ethnic group","4 Years","1996","Total people, sex",60860,
"Total people, ethnic group","5 Years","1996","Total people, sex",62450,
"Total people, ethnic group","6 Years","1996","Total people, sex",61050,
"Total people, ethnic group","6 Years","2001","Total people, sex",58440,
"Total people, ethnic group","5 Years","2001","Total people, sex",57200,
"Total people, ethnic group","4 Years","2006","Total people, sex",55770,
"Total people, ethnic group","5 Years","2006","Total people, sex",58040,
"Total people, ethnic group","4 Years","2001","Total people, sex",56540,
"Total people, ethnic group","6 Years","2006","Total people, sex",59190,
"Total people, ethnic group","6 Years","2013","Total people, sex",61570,
"Total people, ethnic group","5 Years","2013","Total people, sex",63820,
"Total people, ethnic group","4 Years","2013","Total people, sex",63480,
"Total people, ethnic group","8 Years","1996","Total people, sex",58250,
"Total people, ethnic group","7 Years","1996","Total people, sex",59060,
"Total people, ethnic group","9 Years","1996","Total people, sex",55030,
"Total people, ethnic group","10 Years","1996","Total people, sex",54920,
"Total people, ethnic group","11 Years","1996","Total people, sex",54240,
"Total people, ethnic group","12 Years","1996","Total people, sex",53700,
"Total people, ethnic group","14 Years","1996","Total people, sex",53200,
"Total people, ethnic group","14 Years","2001","Total people, sex",56900,
"Total people, ethnic group","13 Years","1996","Total people, sex",52940,
"Total people, ethnic group","13 Years","2001","Total people, sex",59010,
"Total people, ethnic group","12 Years","2001","Total people, sex",59820,
"Total people, ethnic group","11 Years","2001","Total people, sex",62040,
